status » timestamp,status » error_code,status » error_message,status » elapsed,status » credit_count,status » notice,status » total_count,data » id,data » name,data » symbol,data » slug,data » num_market_pairs,data » date_added,data » tags » 1,data » tags » 2,data » tags » 3,data » tags » 4,data » tags » 5,data » tags » 6,data » tags » 7,data » tags » 8,data » tags » 9,data » tags » 10,data » tags » 11,data » tags » 12,data » tags » 13,data » tags » 14,data » tags » 15,data » tags » 16,data » tags » 17,data » tags » 18,data » tags » 19,data » tags » 20,data » tags » 21,data » tags » 22,data » tags » 23,data » tags » 24,data » tags » 25,data » tags » 26,data » tags » 27,data » tags » 28,data » tags » 29,data » max_supply,data » circulating_supply,data » total_supply,data » platform,data » platform » id,data » platform » name,data » platform » symbol,data » platform » slug,data » platform » token_address,data » cmc_rank,data » last_updated,data » quote » USD » price,data » quote » USD » volume_24h,data » quote » USD » percent_change_1h,data » quote » USD » percent_change_24h,data » quote » USD » percent_change_7d,data » quote » USD » percent_change_30d,data » quote » USD » percent_change_60d,data » quote » USD » percent_change_90d,data » quote » USD » market_cap,data » quote » USD » last_updated
,,,,,,,1831,Bitcoin Cash,BCH,bitcoin-cash,593,2017-07-23T00:00:00.000Z,mineable,pow,sha-256,marketplace,medium-of-exchange,store-of-value,enterprise-solutions,payments,binance-chain,,,,,,,,,,,,,,,,,,,,,21000000,18742925,18742925,,,,,,,11,2021-05-22T04:19:09.000Z,660.7653108,7930774433,-0.25604867,-19.31636424,-48.68855495,-27.63843963,23.69097576,-3.02108976,12384674664,2021-05-22T04:19:09.000Z
,,,,,,,2,Litecoin,LTC,litecoin,748,2013-04-28T00:00:00.000Z,mineable,pow,scrypt,medium-of-exchange,binance-chain,,,,,,,,,,,,,,,,,,,,,,,,,84000000,66752414.52,66752414.52,,,,,,,12,2021-05-22T04:20:02.000Z,178.3702075,6888338805,0.89331402,-14.02582538,-45.10021935,-31.54347497,-5.77156999,-21.15557367,11906642027,2021-05-22T04:20:02.000Z
,,,,,,,7083,Uniswap,UNI,uniswap,263,2020-09-17T00:00:00.000Z,decentralized-exchange,defi,dao,yield-farming,amm,coinbase-ventures-portfolio,three-arrows-capital-portfolio,governance,blockchain-capital-portfolio,defiance-capital,alameda-research-portfolio,a16z-portfolio,pantera-capital-portfolio,parafi-capital,paradigm-xzy-screener,,,,,,,,,,,,,,,1000000000,564818146.5,1000000000,,1027,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,13,2021-05-22T04:19:10.000Z,20.60843766,1058675190,-0.89979717,-22.88931353,-50.3161407,-43.7977467,-41.07341237,-31.78345563,11640019560,2021-05-22T04:19:10.000Z
,,,,,,,1975,Chainlink,LINK,chainlink,513,2017-09-20T00:00:00.000Z,platform,defi,oracles,smart-contracts,substrate,polkadot,polkadot-ecosystem,solana-ecosystem,framework-ventures,polygon-ecosystem,,,,,,,,,,,,,,,,,,,,1000000000,428009553.9,1000000000,,1027,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,14,2021-05-22T04:20:07.000Z,24.54342692,2821112760,0.24532207,-19.22769019,-48.35170838,-32.6103351,-10.78753965,-27.8236369,10504821206,2021-05-22T04:20:07.000Z
,,,,,,,5426,Solana,SOL,solana,48,2020-04-10T00:00:00.000Z,dpos,platform,solana-ecosystem,cms-holdings-portfolio,kinetic-capital,alameda-research-portfolio,multicoin-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,272637427.6,494519161.7,,,,,,,15,2021-05-22T04:20:05.000Z,38.01892773,1729567275,1.0001138,-16.05367915,-9.71783374,5.39301447,153.5203298,275.4369968,10365382657,2021-05-22T04:20:05.000Z
,,,,,,,512,Stellar,XLM,stellar,344,2014-08-05T00:00:00.000Z,medium-of-exchange,enterprise-solutions,decentralized-exchange,smart-contracts,hashkey-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,50001806812,23107442343,50001803183,,,,,,,16,2021-05-22T04:20:06.000Z,0.3979326754,2034176189,-0.24186393,-18.55709425,-43.49198662,-18.17464749,-2.12759013,-18.99080224,9195206353,2021-05-22T04:20:06.000Z
,,,,,,,3890,Polygon,MATIC,polygon,125,2019-04-28T00:00:00.000Z,platform,enterprise-solutions,state-channels,coinbase-ventures-portfolio,binance-launchpad,binance-labs-portfolio,polygon-ecosystem,,,,,,,,,,,,,,,,,,,,,,,10000000000,6155590053,10000000000,,1027,Ethereum,ETH,ethereum,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,17,2021-05-22T04:19:10.000Z,1.472791144,3759960107,0.8964688,-18.84603449,-14.12220419,279.3842699,318.2848588,752.5611097,9065898515,2021-05-22T04:19:10.000Z
,,,,,,,4687,Binance USD,BUSD,binance-usd,701,2019-09-20T00:00:00.000Z,store-of-value,stablecoin,stablecoin-asset-backed,binance-chain,binance-smart-chain,,,,,,,,,,,,,,,,,,,,,,,,,,8490547098,8490547098,,1839,Binance Chain,BNB,binance-coin,BUSD-BD1,18,2021-05-22T04:20:08.000Z,1.000168404,10882254663,-0.00495794,0.01663249,0.01247027,-0.0018506,-0.14743662,0.02684305,8491976938,2021-05-22T04:20:08.000Z
,,,,,,,1321,Ethereum Classic,ETC,ethereum-classic,281,2016-07-24T00:00:00.000Z,mineable,pow,ethash,platform,smart-contracts,dcg-portfolio,,,,,,,,,,,,,,,,,,,,,,,,210700000,116313299,116313299,,,,,,,19,2021-05-22T04:20:04.000Z,59.95766913,7755580397,0.43674173,-17.73492245,-43.90236636,79.76634147,379.1381286,295.4781136,6973874297,2021-05-22T04:20:04.000Z
,,,,,,,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,126,2019-01-30T00:00:00.000Z,medium-of-exchange,defi,wrapped-tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,181763.3142,181763.3142,,1027,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,20,2021-05-22T04:20:06.000Z,36954.38717,391292777,-0.68204821,-9.1436299,-25.83434868,-31.60360934,-32.5861828,-34.548164,6716951886,2021-05-22T04:20:06.000Z
